Board 1 ;08:30:46 AM; Measure: -65; T1: 28; T2: 24
Board 1 ;08:31:16 AM; Measure: -66; T1: 28; T2: 24
Board 1 ;08:31:46 AM; Measure: -66; T1: 28; T2: 24
Board 1 ;08:32:16 AM; Measure: -67; T1: 28; T2: 24
Board 1 ;08:32:46 AM; Measure: -70; T1: 30; T2: 24
Board 1 ;08:33:16 AM; Measure: -69; T1: 28; T2: 24
Board 1 ;08:33:46 AM; Measure: -69; T1: 28; T2: 24
Board 1 ;08:34:16 AM; Measure: -70; T1: 28; T2: 24
Board 1 ;08:34:46 AM; Measure: -71; T1: 28; T2: 24
Board 1 ;08:35:16 AM; Measure: -71; T1: 29; T2: 24
Board 1 ;08:35:46 AM; Measure: -72; T1: 28; T2: 24
Board 1 ;08:36:16 AM; Measure: -72; T1: 28; T2: 24
Board 1 ;08:36:46 AM; Measure: -73; T1: 28; T2: 24
Board 1 ;08:37:16 AM; Measure: -73; T1: 28; T2: 24
Board 1 ;08:37:46 AM; Measure: -74; T1: 28; T2: 24
Board 1 ;08:38:16 AM; Measure: -75; T1: 28; T2: 24
